Force,E,v,Start,Displacement
100.000000,1800.000000,0.370000,0.202974,0.233968
100.000000,1800.000000,0.380000,0.208008,0.239895
100.000000,1800.000000,0.390000,0.213536,0.246457
100.000000,1800.000000,0.400000,0.219638,0.253768
100.000000,1800.000000,0.410000,0.226419,0.261979
100.000000,1800.000000,0.420000,0.234019,0.271292
100.000000,1800.000000,0.430000,0.242638,0.281991
100.000000,1800.000000,0.440000,0.252569,0.294490
100.000000,1800.000000,0.450000,0.264271,0.309427
100.000000,1800.000000,0.460000,0.278525,0.327852
100.000000,1800.000000,0.470000,0.296836,0.351691
100.000000,1800.000000,0.480000,0.322719,0.385088
100.000000,1800.000000,0.490000,0.368056,0.440245
100.000000,1900.000000,0.000000,0.203074,0.222457
100.000000,1900.000000,0.010000,0.202368,0.221925
100.000000,1900.000000,0.020000,0.201731,0.221460
100.000000,1900.000000,0.030000,0.201162,0.221065
100.000000,1900.000000,0.040000,0.200664,0.220739
100.000000,1900.000000,0.050000,0.200239,0.220486
100.000000,1900.000000,0.060000,0.199887,0.220306
100.000000,1900.000000,0.070000,0.199610,0.220202
100.000000,1900.000000,0.080000,0.199411,0.220176
100.000000,1900.000000,0.090000,0.199291,0.220229
100.000000,1900.000000,0.100000,0.199253,0.220364
100.000000,1900.000000,0.110000,0.199298,0.220584
100.000000,1900.000000,0.120000,0.199429,0.220891
100.000000,1900.000000,0.130000,0.199649,0.221289
100.000000,1900.000000,0.140000,0.199960,0.221780
100.000000,1900.000000,0.150000,0.200365,0.222367
100.000000,1900.000000,0.160000,0.200869,0.223056
100.000000,1900.000000,0.170000,0.201473,0.223849
100.000000,1900.000000,0.180000,0.202183,0.224751
100.000000,1900.000000,0.190000,0.203001,0.225768
100.000000,1900.000000,0.200000,0.203934,0.226903
100.000000,1900.000000,0.210000,0.204984,0.228164
100.000000,1900.000000,0.220000,0.206159,0.229557
100.000000,1900.000000,0.230000,0.207464,0.231088
100.000000,1900.000000,0.240000,0.208904,0.232767
100.000000,1900.000000,0.250000,0.210488,0.234601
100.000000,1900.000000,0.260000,0.212224,0.236600
100.000000,1900.000000,0.270000,0.214119,0.238777
100.000000,1900.000000,0.280000,0.216184,0.241143
100.000000,1900.000000,0.290000,0.218431,0.243712
100.000000,1900.000000,0.300000,0.220871,0.246502
100.000000,1900.000000,0.310000,0.223519,0.249531
100.000000,1900.000000,0.320000,0.226391,0.252822
100.000000,1900.000000,0.330000,0.229507,0.256399
100.000000,1900.000000,0.340000,0.232890,0.260294
100.000000,1900.000000,0.350000,0.236564,0.264542
100.000000,1900.000000,0.360000,0.240562,0.269188
100.000000,1900.000000,0.370000,0.244922,0.274285
100.000000,1900.000000,0.380000,0.249692,0.279900
100.000000,1900.000000,0.390000,0.254929,0.286117
100.000000,1900.000000,0.400000,0.260710,0.293044
100.000000,1900.000000,0.410000,0.267134,0.300822
100.000000,1900.000000,0.420000,0.274334,0.309645
100.000000,1900.000000,0.430000,0.282499,0.319781
100.000000,1900.000000,0.440000,0.291908,0.331622
100.000000,1900.000000,0.450000,0.302993,0.345773
100.000000,1900.000000,0.460000,0.316497,0.363228
100.000000,1900.000000,0.470000,0.333845,0.385813
100.000000,1900.000000,0.480000,0.358365,0.417452
100.000000,1900.000000,0.490000,0.401317,0.469705
100.000000,2000.000000,0.000000,0.242920,0.261334
100.000000,2000.000000,0.010000,0.242250,0.260829
100.000000,2000.000000,0.020000,0.241644,0.260387
100.000000,2000.000000,0.030000,0.241104,0.260012
100.000000,2000.000000,0.040000,0.240631,0.259702
100.000000,2000.000000,0.050000,0.240227,0.259462
100.000000,2000.000000,0.060000,0.239893,0.259291
100.000000,2000.000000,0.070000,0.239630,0.259192
100.000000,2000.000000,0.080000,0.239441,0.259167
100.000000,2000.000000,0.090000,0.239327,0.259217
100.000000,2000.000000,0.100000,0.239290,0.259346
100.000000,2000.000000,0.110000,0.239333,0.259555
100.000000,2000.000000,0.120000,0.239458,0.259847
100.000000,2000.000000,0.130000,0.239666,0.260224
100.000000,2000.000000,0.140000,0.239962,0.260691
